,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
239,0.9669396,0.6118887,0.5408705,0.31737456,80.0273
240,0.96572644,0.6147439,0.5363209,0.31441525,80.232025
241,0.9654231,0.6143821,0.542842,0.31756994,80.08796
242,0.95238096,0.60438955,0.53336364,0.31301108,80.30027
243,0.96148014,0.6081773,0.5415529,0.3181229,79.943886
244,0.94661814,0.601778,0.5374583,0.3153235,80.156204
245,0.95298755,0.6058672,0.5337428,0.3133574,80.26994
246,0.9590537,0.6079853,0.5426145,0.31726897,80.12587
247,0.9611768,0.6126518,0.537155,0.31460547,80.26994
248,0.9660297,0.61500573,0.53707916,0.31462944,80.24719
249,0.9639066,0.61008716,0.53154385,0.31186825,80.38368
250,0.9699727,0.61085606,0.53503186,0.3137438,80.28511
251,0.9633,0.60882634,0.531468,0.31148586,80.43676
